VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TEXCOORD0.x, TEXCOORD0.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, BINORMAL.x, BINORMAL.y, BINORMAL.z, BINORMAL.w, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD3.w, TEXCOORD4.x, TEXCOORD4.y, TEXCOORD4.z, TEXCOORD4.w, TEXCOORD5.x, TEXCOORD5.y, TEXCOORD5.z, TEXCOORD5.w
54, 21,  0.14044,  0.85614,  0.83438,  0.0,  0.83529,  0.72157,  0.20784,  0.0,  0.76562,  0.13489, -0.33857,  0.00327, -0.94092,  1.0,  0.06131,  0.95639, -0.28553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
55, 18,  0.14788,  0.99911,  0.85043,  0.0,  0.81569,  0.51373,  0.11373,  0.0,  0.76562,  0.13281, -0.32594,  0.0, -0.94537,  1.0,  0.15357,  0.93146,  0.32981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
56, 22,  0.01425,  0.99911,  0.46046,  0.0,  0.99608,  0.47059,  0.5451,  0.0,  0.78222,  0.13281,  0.39143, -0.00562, -0.92016,  1.0,  0.21876,  0.92621, -0.30699,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
57, 23,  0.01144,  0.86012,  0.47361,  0.0,  0.9451,  0.71765,  0.48627,  0.0,  0.78222,  0.13489,  0.37428, -0.00595, -0.92727,  1.0,  0.06131,  0.95639, -0.28553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
58, 21,  0.14044,  0.85614,  0.83438,  0.0,  0.83529,  0.72157,  0.20784,  0.0,  0.76562,  0.13489, -0.33857,  0.00327, -0.94092,  1.0,  0.06131,  0.95639, -0.28553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
59, 22,  0.01425,  0.99911,  0.46046,  0.0,  0.99608,  0.47059,  0.5451,  0.0,  0.78222,  0.13281,  0.39143, -0.00562, -0.92016,  1.0,  0.21876,  0.92621, -0.30699,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
60, 23,  0.01144,  0.86012,  0.47361,  0.0,  0.9451,  0.71765,  0.48627,  0.0,  0.78222,  0.13489,  0.37428, -0.00595, -0.92727,  1.0,  0.06131,  0.95639, -0.28553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
61, 22,  0.01425,  0.99911,  0.46046,  0.0,  0.99608,  0.47059,  0.5451,  0.0,  0.78222,  0.13281,  0.39143, -0.00562, -0.92016,  1.0,  0.21876,  0.92621, -0.30699,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
62, 24,  0.14005,  0.8536,  0.153,  0.0,  0.82745,  0.73725,  0.79216,  0.0,  0.79638,  0.13489,  0.93371, -0.00388, -0.35792,  1.0,  0.21876,  0.92621, -0.30699,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
63, 25,  0.15042,  0.99289,  0.13837,  0.0,  0.80784,  0.52941,  0.88627,  0.0,  0.79638,  0.13281,  0.94363,  0.00528, -0.33091,  1.0, -0.10575,  0.99271,  0.05744,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
64, 24,  0.14005,  0.8536,  0.153,  0.0,  0.82745,  0.73725,  0.79216,  0.0,  0.79638,  0.13489,  0.93371, -0.00388, -0.35792,  1.0,  0.21876,  0.92621, -0.30699,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
65, 22,  0.01425,  0.99911,  0.46046,  0.0,  0.99608,  0.47059,  0.5451,  0.0,  0.78222,  0.13281,  0.39143, -0.00562, -0.92016,  1.0,  0.21876,  0.92621, -0.30699,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
66, 24,  0.14005,  0.8536,  0.153,  0.0,  0.82745,  0.73725,  0.79216,  0.0,  0.79638,  0.13489,  0.93371, -0.00388, -0.35792,  1.0,  0.21876,  0.92621, -0.30699,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
67, 25,  0.15042,  0.99289,  0.13837,  0.0,  0.80784,  0.52941,  0.88627,  0.0,  0.79638,  0.13281,  0.94363,  0.00528, -0.33091,  1.0, -0.10575,  0.99271,  0.05744,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
68, 26,  0.50434,  0.84878,  0.01248,  0.0,  0.4902,  0.73333,  0.93725,  0.0,  0.81201,  0.13489,  0.93704, -0.00351,  0.3491,  1.0, -0.07767,  0.99686, -0.01425,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
69, 27,  0.49929,  0.99911,  0.01524,  0.0,  0.5098,  0.51373,  0.99608,  0.0,  0.81201,  0.13281,  0.94043,  0.0,  0.33992,  1.0, -0.10575,  0.99271,  0.05744,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
70, 26,  0.50434,  0.84878,  0.01248,  0.0,  0.4902,  0.73333,  0.93725,  0.0,  0.81201,  0.13489,  0.93704, -0.00351,  0.3491,  1.0, -0.07767,  0.99686, -0.01425,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
